date,ticker,open,high,low,close
23/01/2023 01:00,USDJPY,129.274,129.306,129.063,129.201
23/01/2023 02:00,USDJPY,129.2,129.253,129.092,129.183
23/01/2023 03:00,USDJPY,129.185,129.326,129.04,129.308
23/01/2023 04:00,USDJPY,129.307,129.745,129.304,129.584
23/01/2023 05:00,USDJPY,129.586,129.891,129.552,129.856
23/01/2023 06:00,USDJPY,129.852,130.171,129.818,130.086
23/01/2023 07:00,USDJPY,130.086,130.319,129.92,130.12
23/01/2023 08:00,USDJPY,130.124,130.151,129.615,129.716
23/01/2023 09:00,USDJPY,129.72,129.916,129.71,129.83
23/01/2023 10:00,USDJPY,129.833,130.042,129.7,130.038
23/01/2023 11:00,USDJPY,130.037,130.332,130.009,130.322
23/01/2023 12:00,USDJPY,130.321,130.46,130.11,130.23
23/01/2023 13:00,USDJPY,130.241,130.635,130.21,130.494
23/01/2023 14:00,USDJPY,130.493,130.887,130.471,130.63
23/01/2023 15:00,USDJPY,130.629,130.798,130.427,130.607
23/01/2023 16:00,USDJPY,130.614,130.712,130.43,130.695
23/01/2023 17:00,USDJPY,130.692,130.753,130.6,130.639
23/01/2023 18:00,USDJPY,130.645,130.678,130.552,130.65
23/01/2023 19:00,USDJPY,130.651,130.716,130.584,130.671
23/01/2023 20:00,USDJPY,130.67,130.714,130.605,130.692
23/01/2023 21:00,USDJPY,130.689,130.702,130.64,130.66
23/01/2023 22:00,USDJPY,130.63,130.661,130.534,130.589
23/01/2023 23:00,USDJPY,130.601,130.615,130.452,130.593
24/01/2023 00:00,USDJPY,130.597,130.729,130.25,130.391
24/01/2023 01:00,USDJPY,130.392,130.437,130.236,130.256
24/01/2023 02:00,USDJPY,130.255,130.423,130.139,130.313
24/01/2023 03:00,USDJPY,130.313,130.447,130.227,130.379
24/01/2023 04:00,USDJPY,130.38,130.444,130.18,130.288
24/01/2023 05:00,USDJPY,130.286,130.346,130.062,130.142
24/01/2023 06:00,USDJPY,130.146,130.178,130.03,130.051
24/01/2023 07:00,USDJPY,130.05,130.202,129.718,129.849
24/01/2023 08:00,USDJPY,129.857,130.155,129.761,130.014
24/01/2023 09:00,USDJPY,130.016,130.39,129.99,130.11
24/01/2023 10:00,USDJPY,130.109,130.275,130.04,130.142
24/01/2023 11:00,USDJPY,130.138,130.301,130.11,130.189
24/01/2023 12:00,USDJPY,130.192,130.334,130.14,130.267
24/01/2023 13:00,USDJPY,130.268,130.49,130.188,130.43
24/01/2023 14:00,USDJPY,130.429,131.115,130.33,131.067
24/01/2023 15:00,USDJPY,131.069,131.109,130.04,130.093
24/01/2023 16:00,USDJPY,130.089,130.242,129.864,130.078
24/01/2023 17:00,USDJPY,130.074,130.105,129.89,130.018
24/01/2023 18:00,USDJPY,130.017,130.09,129.96,130.088
24/01/2023 19:00,USDJPY,130.085,130.105,130.01,130.044
24/01/2023 20:00,USDJPY,130.047,130.154,130.01,130.152
24/01/2023 21:00,USDJPY,130.153,130.201,130.114,130.148
24/01/2023 22:00,USDJPY,130.161,130.201,130.134,130.15
24/01/2023 23:00,USDJPY,130.156,130.247,130.022,130.21
25/01/2023 00:00,USDJPY,130.212,130.465,130.199,130.334
25/01/2023 01:00,USDJPY,130.334,130.37,130.18,130.269
25/01/2023 02:00,USDJPY,130.267,130.33,130.105,130.315
25/01/2023 03:00,USDJPY,130.316,130.573,130.295,130.509
25/01/2023 04:00,USDJPY,130.509,130.582,130.34,130.446
25/01/2023 05:00,USDJPY,130.442,130.583,130.43,130.437
25/01/2023 06:00,USDJPY,130.442,130.485,130.297,130.391
25/01/2023 07:00,USDJPY,130.391,130.482,130.25,130.431
25/01/2023 08:00,USDJPY,130.43,130.492,130.159,130.242
25/01/2023 09:00,USDJPY,130.242,130.281,129.801,129.851
25/01/2023 10:00,USDJPY,129.848,130.103,129.803,129.983
25/01/2023 11:00,USDJPY,129.979,129.982,129.652,129.69
25/01/2023 12:00,USDJPY,129.693,129.855,129.554,129.7
25/01/2023 13:00,USDJPY,129.697,130.033,129.676,129.956
25/01/2023 14:00,USDJPY,129.958,130.003,129.61,129.696
25/01/2023 15:00,USDJPY,129.691,129.715,129.26,129.588
25/01/2023 16:00,USDJPY,129.588,129.945,129.55,129.643
25/01/2023 17:00,USDJPY,129.642,129.715,129.549,129.614
25/01/2023 18:00,USDJPY,129.616,129.631,129.41,129.533
25/01/2023 19:00,USDJPY,129.535,129.677,129.505,129.537
25/01/2023 20:00,USDJPY,129.534,129.648,129.497,129.596
25/01/2023 21:00,USDJPY,129.597,129.613,129.505,129.589
25/01/2023 22:00,USDJPY,129.595,129.619,129.393,129.504
25/01/2023 23:00,USDJPY,129.485,129.513,129.21,129.258
26/01/2023 00:00,USDJPY,129.255,129.38,129.1,129.216
26/01/2023 01:00,USDJPY,129.212,129.343,129.094,129.209
26/01/2023 02:00,USDJPY,129.213,129.588,129.13,129.386
26/01/2023 03:00,USDJPY,129.384,129.436,129.25,129.31
26/01/2023 04:00,USDJPY,129.312,129.321,129.01,129.238
26/01/2023 05:00,USDJPY,129.24,129.43,129.232,129.326
26/01/2023 06:00,USDJPY,129.327,129.407,129.196,129.337
26/01/2023 07:00,USDJPY,129.339,129.745,129.334,129.481
26/01/2023 08:00,USDJPY,129.482,129.868,129.478,129.807
26/01/2023 09:00,USDJPY,129.812,129.994,129.729,129.959
26/01/2023 10:00,USDJPY,129.954,130,129.62,129.677
26/01/2023 11:00,USDJPY,129.681,129.892,129.674,129.822
26/01/2023 12:00,USDJPY,129.823,130.014,129.64,129.754
26/01/2023 13:00,USDJPY,129.753,130.275,129.665,129.869
26/01/2023 14:00,USDJPY,129.867,130.384,129.69,130.311
26/01/2023 15:00,USDJPY,130.312,130.549,130.12,130.443
26/01/2023 16:00,USDJPY,130.444,130.617,130.31,130.397
26/01/2023 17:00,USDJPY,130.4,130.419,130.256,130.337
26/01/2023 18:00,USDJPY,130.336,130.336,130.046,130.151
26/01/2023 19:00,USDJPY,130.152,130.292,130.137,130.223
26/01/2023 20:00,USDJPY,130.224,130.295,130.192,130.245
26/01/2023 21:00,USDJPY,130.241,130.279,130.196,130.211
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
